標題,日期,內文,讚數,留言數
丹妮婊姐星球,2023年4月16日,最近生活有感，寫出來給有小孩的媽媽參考，保證飛黃騰達台灣職業別 1.    水電大人：永遠叫不來，forever叫不來，我現在稱呼他們後面都要加上大人跟挪台（你們知道什麼是挪台吧），以累積福報。還是說必須整成林襄，他們才會來啦啊啊啊啊啊！！！！！（水泥工大人跟油漆大人也是叫不來） 2.牙醫大人：全台灣沒有一間牙醫不滿！！！牙醫真的是完全不用一毛行銷跟宣傳的產業！沒・有・一・間・不・滿！！ 我們是全台9成人口牙齒都爛嗎？？like台灣人9成人口會說自己膝蓋不好一樣哈哈哈哈哈！ 牙醫不管去哪家，他們都會說：滿到下個月月底！！！！！ 牙醫此生別想走進去就看到！我看我家社區社團，一個媽媽小孩滿口鮮血，因為跌倒正門朝下，結果走緊急跑去兩家牙醫碰壁兩次哈哈哈哈哈，都已經滿口血了還碰壁！！到第三家媽媽一踏進去崩潰大哭掀開屋頂，搭配本來就大哭的兒童，才有辦法讓醫生出來看到！ 媽啊滿口血都碰壁，一般牙痛的百姓如我就是吃史哈哈哈哈哈哈 而我固定的牙醫診所晶悅也是（雙連那家），我看我醫生同時處理超多病人，我都是又哭又求鼻涕滿臉，他們才有辦法同情我哈哈哈哈哈。醫生們真的忙到完全是沒有辦法回手機訊息的人哈哈哈哈，好險他們都已婚，不然真不知道怎麼跟女生曖昧！！！因為他們真的沒空碰手機！！！！ 3. 各種專科診所，醫院：以我胃痛來說，因為一般診所看不好，我只好必須轉診。所有肝膽腸胃科的診所或大醫院都滿到下下週後吧，我打其中一家，我問他：那我一直反覆疼痛，但兩周後才能看到醫生，那這兩周我先吃普通胃藥擋著不痛嗎？ 小姐說：也是可以 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 當然我爸媽看不下去，周一要我一大早殺去醫院現場掛號，我爸還說欸欸有名的那個周五有看，我大吼：周一隨便一個醫生都好！！等不到周五！！！反正他們也都全滿，沒有什麼好挑！！！！ 嗚嗚嗚嗚你們覺得還有什麼也很難約嗎？沒有對應圖片隨便放一張,"4,294",203則留言
丹妮婊姐星球,2023年2月28日,做功課做了足足一週！這次又挖掘到很多好物要跟你們分享！那痘痘藥他媽的神強,362,7則留言
丹妮婊姐星球,2023年2月24日,那天跟同學去宜蘭兩天一夜小旅行，我真的好久好久沒有跟同學旅行，真的青春回憶都回來了，好開心。 一群人真的沒有特殊行程，就一路吃喝，最驚訝的就是，我摯愛之全台最有名那家的花生捲冰淇淋，從35一路飆漲到現在一捲50!!!50!!!!!50!!!!!!!!!!!!!(請讓我去北海道的大雪山頂大吼)害我每一口都吃得更珍惜這樣哈哈哈哈哈哈!有表弟妹吃到嗎? 到了很美的名宿，一群老人躺個在那看電視到傍晚，其間我們發現，那家名宿的廁所居然不是完全密閉式，他跟天花板之間有很大一塊縫隙通風， 然後你們知道，同學湊在一起一定就會講幹話，我們就閒聊班上同學或學長姊，然後不小心講到某位同學時，大家就在討論他發胖幅度很巨大，或許有20公斤，第一是健康隱憂，然後就是真的是一秒阿北感滿滿，(然後就不小心開始細數班上那些人也是大發胖哈哈哈哈哈哈哈) 然後我們就飄去夜市吃晚餐，又再度回名宿躺著看電視，我廢我驕傲。但我總覺得少了什麼，奇怪，好不滿足。 我躺在沙放上喝著氣泡水，突然悠悠的說:這種時候.....不是應該要桌上一堆食物跟啤酒嗎?為何我們桌上只有水?!!!!!!多廢???我手裡不是應該要有北海鱈魚香絲嗎???我們的洋芋片呢?難怪我們在場的都沒發胖!!因為我們都過得很淒涼哈哈哈哈哈哈哈哈阿! 對!我們這群剛好都是邁入中年沒胖的，但都很克制跟運動啦! 你知道這種同學旅行，一定就是吃完晚餐後，一定要在大買各種炭烤/鹹酥雞/超商零嘴like 北海鱈魚香絲或義美小泡芙或洋芋片，然後一堆啤酒，回到住宿後再度大吃第二頓啊!!!結果我們一行人居然桌上只有水!!!!!!!!!!!!!! 同學苦惱的回:阿我們就不想變成某某某啊..... 哈哈哈哈哈哈哈哈哈哈哈哈哈哈我們會下地獄嗎?!但真的只是實話實說!!!我說:我也胖不得，我太愛美了，我又每周都要棚拍。嗚嗚嗚嗚嗚~我一胖，助理就會關切我好嗎嗚嗚嗚嗚嗚 但因為就是如此自律的體重管理習慣(結果打開我yt 日本vlog整集在吃阿哈哈哈哈哈哈哈!我有運動跟放風日啦!!!)，我最近去健康檢查，數字大致上都很標準!!只有少數東西沒過關需要追蹤治療。 我真的每一天都在為體重苦惱，我健康檢查所有項目裡面最緊張的才不是照腸鏡，是~~量體重哈哈哈哈哈哈阿! 很感恩我長年以來背後的體重管理團隊Cofit一直幫助我健康的維持體重，我朋友去一個瘦了18公斤，一個10公斤，我是從不明原因一直發福，到現在可以好好維持理想體重!!!!減肥難，維持更難如登天!!!!!! (備註:我當時去醫院檢查不出原因，我就很健康，直到去了Cofit這種專門的簡查，才查出來我的甲狀腺有點問題，還有我飲食出很大問題，吃太少哈哈哈哈哈阿) 如果你真的也有體重困擾，可以參考Cofit的營養師服務，但就是很逼人喔營養師每天會追殺你三餐照片哈哈哈哈哈哈哈!真的走投無路才看診，因為看診沒有健保所以費用比較高。 如果你剛好有困擾可以參考https://hi.cofit.me/H0hQx 優惠碼：表弟妹用 輸入優惠碼報名營養師一對一體態及飲食分析首次只要台幣 $350 大家可以先試試看這個～,"1,012",16則留言
丹妮婊姐星球,2023年5月31日,"台灣前三大學府台清交，我覺得應該第四學府是渣，台清交渣，渣男大學（不只有渣男啦渣女也有），我本人堪稱渣男大學榮譽校長，連續三次遇到爛咖，導致我痛定思痛，開始閱讀龐大的戀愛書籍跟資料，同時我也非常關心周遭人類的福祉，然後漸漸成為了表弟妹地下月老，欸不是愛情專家，是地下月老！我都把你們當兒子女兒在照顧好嗎！我曾經還半夜幫表妹跨海抓姦哈哈哈哈愛情這個議題真的永遠都一樣難，看幾十年前的台語老歌，歌詞唱的心中的美好跟痛跟煩惱，完全沒有隨著時代發展而變啊，哈哈哈哈哈哈哈都是一樣的！！地下月老妮妮最近多了一個新的身份，是戀愛綜藝實境節目，三立電視［職想愛上你］的主持人，努力做了好多功課，發抖的去主持活到中年第一次正式主持一個節目，第一次記者會站在台上，第一次被這麼多記者訪問，這應該是18歲時該體驗的吧！？？我這麼老了，也是滿漏尿啦哈哈哈哈哈哈,但覺得不能被年紀侷限自己，勇敢踏出去，短短的一季，跟大家一起吃瓜兒，收視率靠你們了，不好就怪你們（開始情勒）5/31 起每周三晚上8:00,職想愛上你YouTube 播出#戀愛實境秀","4,480",64則留言
丹妮婊姐星球,2023年3月22日,最近我看了劉在石一個節目叫急速相親，跟別的戀粽不太一樣，像是單身及地獄要把來賓們關在一個地方住，實際相處，但這節目就是當天相親，走一個很快的路線。韓國跟日本好像很流行相親，講的跟去711一樣，因為來賓很多都說有在相親，而且講的人還都是來到台灣可以當天菜的男生!!!!(我後面會解釋)在台灣好像聽到要相親，女生都會超不願意? 因為我叫我單身女生朋友去相親，他們ㄧ副我好像把他們ㄧ把從月台推下去火車要來的月台這樣哈哈哈哈哈哈!但我沒有那意思樣他們送使!!!! 來賓當天就會有職業介紹，(女來賓部份我先不管喔畢竟我花癡哈哈哈哈哈哈哈，但顏值都滿有水準是真的)，男生職業從醫生到民宿老闆到工程師，各行各業都有。 靠這節目有夠好看!!!!!!! 因為單身及地獄的男來賓都過帥，那叫做宇宙天菜，比天還高，他們眼睛也比天高。帥到你根本不會有辦法想像要交往，阿我們就不是宋志亞等級的大美女啊，他們根本也不會看上我們。 但這節目挑的男來賓，完全就是超剛好!!!!!!!!!!!!!!!我稱為地下天菜!!!凡人歐巴們!!!!! 有部分男來賓帥到可以當演員也OK的，但就算沒帥到當演員的，整體打扮也很舒服很韓很好看哈哈哈阿，然後很多運動咖!!!幾乎歐巴們都愛運動!!!!!不知道為何，愛運動的男人，在台灣好像很難找?我想是工程師之島，台灣男生太忙? 好!!!!舉例來說，有一個醫生雖然臉不是超帥，就斯文型。但六塊肌身材精實，跟打扮超級歐巴氣質又好。他說他因為身為醫生太忙，都沒空認識異性，所以單身好一陣子。 我想說幹，你這等級在台灣，整間醫院的護士跟女病患都在抽你診間號碼牌好嗎!!!!!!!!!你絕對用black pink演唱會門票姿態秒殺!!!!!!!!!!!!!!!!!!!!!!!!!台灣男生人口真的少女生20萬人!!!還要再扣掉死會跟怪胎跟gay，台灣女生真的很可憐!!!!沒有貨源啊~~~~~~~~~~~~~ 他們跟單身及地獄裡面的歐巴完全不同!!!!裡面的歐巴說單身，你會覺得喔喔喔手機打開曖昧100個林襄等級的正妹。但這節目不一樣!!!!他們都超級貼近生活!!!!!好想把這票凡人歐巴綁來台灣啊~~~~~~~~擄人不用勒贖，因為台灣超多優質單身女生沒貨源阿阿! 其實我講這麼多要說的重點是，台灣單身的女生更要看這節目，不是因為你能碰觸到那些男來賓，是因為~ 台灣超多交友軟體上面的詐騙集團根本就是盜用這種凡人小歐巴門的照片啊哈哈哈哈哈哈阿哈哈阿哈哈哈!根本就是這批人的照片啊!!!!!!!!!!! 我三年前還沒脫單時都會滑到，但滑到我就是馬上滑走，因為我一看就知道不是台灣人哈哈哈哈哈哈哈阿!! 但最近我發現周遭一些女生，他們真的都會跟交友軟體上這樣的男生聊天，以為自己滑到天菜，幹，根本不是!!!就是韓國這種地下天菜小歐巴，那就是要詐騙用的!!!!!!! 但我可以理解女生想要滑這樣的男生的心情，我非常了解台灣交有軟體上面的貨源，正妹比例絕對是暴力輾壓好看男性的比例哈哈哈哈哈，跟一堆怪人，所以很多人跟我說他們滑的心很累。 真的不是你們的問題，我只能說這批廣大的地下歐巴真的都在韓國嗚嗚嗚嗚嗚你們還是只能滑走吧嗚嗚嗚嗚,"2,896",152則留言
丹妮婊姐星球,2023年1月30日,我喜歡達臉別人因為我心胸滿狹窄的哈哈哈哈哈哈!我多年前把兩本股票的書丟給我爸光仲閱讀，因為我看他很閒，我希望他可以讀完幫我投資，他就打死不看，只想看電視名嘴，後來我只好自己下海讀，然後實際開始操作。 那天我整理書櫃看到股市的書，又對光仲說:我給你的股市書你都不讀，不然(然後被他打斷) 光仲:哀啊那都沒有用啦!!!那都騙笑啦! 我:喔我按照書上做，我今年帳面上賺了____。 光仲徹底傻眼講不出話哈哈哈哈哈哈。 但隔天換我笑不出來，光仲馬上說:ㄟ那車子保養的費用12000你要出嗎? 為表弟妹示範財不露白，對爸媽也千萬不要露，我以後不論怎樣一概說我股市慘賠好了，我這就是蠢豬示範哈哈哈哈哈哈阿! 書中自有黃金屋!!!!我知道現在大部分人不讀書了，這篇可能不太會有人留言，但我還是分享我今年過年的書單 1 大俠武林  股息cover 我每一天 長投派必讀!!!短投派就免了。今年過年還要再讀一次因為我怕我腦殘已經忘光~他的整套邏輯非常清晰不複雜，只是難在有一兩條算式對數學不好的人來說有很大障礙，我當時叫一個台大的人幫我算，結果我拿他答案去問大俠本人，那台大的居然算錯!!! 2 Zack 購屋超級攻略 想買房必讀，會讓你不會成為韭菜!!!這本書非常非常厚，需要分很多次閱讀，因為都是乾貨知識，所以我這種腦子有限的人無法連續讀，需要切換到下一本我的愛。 3 倪匡衛斯理隨便抽兩本!哈哈哈哈哈哈哈哈阿 倪匡我不用多解釋了，他已經是經典。 那天我人在髮廊用頭髮，我抱著一本小說猛看，髮廊老闆娘對我說:婊姐你真的很有內涵ㄟ!!你好上進喔私下很常讀書，難怪吼你很會寫東西啦!! 我實在有點心虛，因為我手上那本超厚的小說，是倪匡的衛斯理哈哈哈哈哈哈哈哈哈阿哈哈阿!!!我實在很難說自己上進哈哈哈哈哈!! 我過年回南部要扛這些書我真心要重死，我只要飛出國我都會在隨身包包都要放一本小說，長途還放兩本，也是活脫脫重死，有一次還從第七航廈走去第一航廈，差點把行李推車當滑板車溜。 直到遇到這次乾媽樂天Kobo電子書，我才懂得電子書的美好，我好想要把我整套倪匡賣掉，我想要整套改買電子書!!!!!!!我老實說本次過年還是要扛三本書......因為這些書我老早都有實體書了!!!我摳門我不想再花錢!!!!我是後續新書才有辦法開始買電子書!!!!! 我身旁所有的書，全部~~~~~~~~都可以放到一本小小的電子書閱讀器裡面!!!!這台 Kobo Libra 2 可以放20000多本!行動圖書館!! 那買電子書之前要注意，有兩種電子書 「開放式」就像一般的電腦平板，你下載APP，跨平台這樣讀，是很方便，不過我嘗試下來我個人覺得無法讀書太久~因為手機或平板比較適合看劇，看字看一陣子就覺得好累!!!!! 「封閉式」通常為電子書平台推出的專屬閱讀器，只能閱讀自家電子書平台上面賣的書。這種通常買閱讀器會送購書金外，平常書籍折扣活動也不少~就像今天乾媽KOBO閱讀器就是。 那我研究了另一個很有名電子閱讀器，他問題在於亞馬遜上販售的中文書太少，我覺得那適合講話參英文的菁英哈哈哈哈哈哈哈!我手上的 Kobo Libra 2  閱讀器－黑白雙色可選擇 7吋螢幕，旁邊兩顆按鈕可以翻面，我覺得很方便直覺，握的地方也比其他款式更有空空間，因為通常比較窄這台比較寬， Kobo Libra 2 手感上很好!!! kobo閱讀器皆可防水， IPX8 高階防水，這台還可以支援藍牙耳機有聲書，很忙的人可以洗衣服刷牙洗澡的時候聽超爽 kobo閱讀器因電子墨水的特性低藍光，二代更升級最新 E Ink Carta™ 1200 螢幕（低藍光電子紙螢幕），對比度、靈敏度大幅提升，更加貼近紙書質感，看起來真的會很像紙，眼睛比較不會疲勞!還有深色模式減緩眼睛負擔! －閱讀器可調整字體大小及行距（備註:如出版社該書無提供才會無法調整喔） 樂天Kobo出的型號有好幾種，我會建議你還是要研究一下其他型號!老實說你如果沒有要聽有聲書，那可以買更低階比較省錢喔! 如果你也是讀書人， 2023 台北國際書展 1/31-2/5 樂天Kobo優惠活動 電子書優惠： - 台灣首購用戶輸入 Danny 享單書7折 (連我自己本人也要輸入) - 樂天Kobo電子書全站75折，優惠碼 KOBOWOW ， 單筆滿$2000 再抽樂天點數2000點（詳情見網頁底部活動辦法） 閱讀器網路平台優惠： 熱銷款閱讀器最高折 $1850，最高再送$1600購書金！ *實際優惠價格及購書金登錄請參考各賣場 https://lihi2.cc/wOBUQ 那我也想到了KOBO閱讀器的缺點，就是~~ 如果你真的都改買電子書，書櫃會很空，好處是可以放很多別的東西，壞處是當客人來到你家的時候，你不能展現你滿滿書櫃的豐富知識素養哈哈哈哈哈哈哈哈哈阿! 再來是我原本真的要上去網站買下整套倪匡的電子書，但....居...然....沒....賣.............,"2,426",91則留言
丹妮婊姐星球,2023年3月17日,我年少輕狂時最常說:我真的怎樣都沒黑眼圈，不論我怎樣熬夜去夜店喝酒，我真的就是沒有黑眼圈。所以我化妝也不知道怎樣遮黑眼圈，因為我就用不到啊~結果現在老了，黑眼圈爆幹深哈哈哈哈哈哈哈哈，今年已經買了3盤遮瑕苦練中!然後以前我也很常說我頭髮然捲粗硬髮又很多，我要煩死了，頭超大啊，我甚至還睡覺戴安全帽過，只因為想起床時頭很扁，我想要夢幻細軟髮!!!喔結果我這兩年被嚴重斷髮逼死，我頭髮因為壓力之類問題，大概比年輕時少了1/3……我頭髮真的從勇猛粗硬髮變成要斷氣的營養不良細軟髮!!!!!!!(你們平常看到的照片是做過造型的!!!)我到底幹嘛亂講話!!!!我很想掐我自己!!!!!!然後又打疫苗，我頭髮真的邁向威廉王子。我以前是一頭獅子~~~~~~現在頭頂跟魟魚一樣扁。然後剛好我教練跟我說他買了DRCYJ洗髮精，他一口氣買12罐!!!!他說超好用，洗了頭頂很澎，他拿一罐給我洗洗看，我正在用的那幾天，DRCYJ 健髮中心請我去體驗，我就想說喔好吧去去看，畢竟洗髮精好用到我教練買12罐(我被他業配)。幹一去之後我馬上問課程多少錢，因為我真的想買!!我看到我可憐的頭皮惹~~~這間就想成高級的頭皮調理強健護理中心，適合頭髮頭皮有困擾的人看到這裡就發現自己頭皮有問題的請直接去報名 >>https://reurl.cc/1e3qqD要知道頭皮問題第一步需要做的就是檢測我頭皮一照，看到超多要死不活的頭髮!!!(就原本應該要很粗硬，但變成搖搖欲墜超細)，然後我頭皮居然又乾又很多皮削，我徹底誤會我自己頭皮超油，就是因為過乾導致我頭髮又很油，真的照了才會知道，其實放任不管就是有天真的會變威廉王子。第二道手續，安排了專業的養護師，根據我狀況搭配了最適合的課程進階健髮課程(植萃胜玻護理)，在個人VIP包廂內用超好用的DRCYJ洗髮精深層洗髮/放鬆舒壓的肩頸按摩/韓式水飛梭清理頭皮毛孔，原來水飛梭用在頭皮上會這麼乾淨，最後用專業汽化儀把滿滿精華噴入頭皮，最後會把頭髮吹好讓你直接出去下一個行程~整個過程真的會不小心睡著，放鬆到爆。課程做完後，會再照一次頭皮檢測，其實課程結束就有感覺頭皮很輕盈乾淨，再用檢測儀器一照就看的出來頭皮太神奇的不一樣!!!!!原本毛孔賭塞的那塊很像豬油的東西都不見了，然後超乾裂的頭皮也變成很像擦過保養品的皮膚哈哈哈哈哈哈!但當然不是說這樣頭髮就會馬上發回來，這也是跟皮膚抗老一樣要長期保養，頭皮顧好後才有好的頭髮生長環境。如果你有頭髮越來越威廉王子(我真的好怕被他告)困擾，男生我覺得算了你還可以乾脆整頭光變成馮迪索，但最好也是不要，除非有一樣的五官，女生的話真心命苦，一定要早期發現超前開始動作保養頭皮DRCYJ健髮中心全台灣北中南有25家堪稱是全台最多據點的直營頭皮養護中心我這次是去到安和店 交通滿方便的每間店環境都很舒適 服務一致專業管理師和養護師都有完整的教育訓練頭皮的警訊真的不能忽略一但開始出問題拖太久就真的只能當女馮迪索有健康的頭髮真的很減齡!!這次給新客體驗37折up價北中南都可以報名 >>https://reurl.cc/1e3qqD#DRCYJ健髮中心#頭皮護理專家#DRCYJ,"2,501",195則留言
丹妮婊姐星球,2023年6月10日,那天跟我健身教練聊天，我說:我最討厭戶外運動。 她安靜地瞪著我。 我繼續說:我討厭曬太陽啊!我真的討厭戶外運動。 教練翻白眼:你確定?!?!?!?你確定你有了解你自己嗎???滑雪?滑水?潛水? 靠，我真的是，很搞不清楚我自己的人設哈哈哈哈哈哈哈哈!!我根本成為了那種說自己很man但女到爆的人哈哈哈哈哈哈哈(她們也是搞不清楚自己人設) 我真的非常討厭曬太陽，但剛好我喜歡的東西都在太陽底下而已!!!!我真心痛恨曬黑!!! 雖然很不想承認，但我好像是一個微微戶外運動咖，所以我是拚老命在防曬跟使用美白產品(小時候是瘋到狂喝檸檬水喝到腸胃炎) 所以目前為止算是都會被人問:阿你怎麼都沒變黑? 如果你跟我一樣對<自身要求>是一白遮300醜 新升級的Olay革糖素小白瓶 適合誰:皮膚暗黃的小資人，想變Elsa的福音!!!!因為價錢真的可愛! 這瓶真的開架裡面的優良好物!我覺得真的是OLAY這個開架品牌的關鍵系列產品，因為他完全把OLAY變成了一個開架保養王牌!我很愛的一個成分專家還說OLAY這罐是YYDS~ 這罐用了現在很紅的抗糖美白概念，因為過多的糖會讓皮膚容易暗黃，(甜食跟有糖飲料)但總不可能一輩子無糖，比出家更難。 這罐添加維生素B3煙醯胺 x 革糖素，就是耐心用一個月，整臉會提亮感。(但建議你要拍照這樣來看比較有感喔) 質地上也有保濕度，所以就算懶惰擦保濕，這罐也算可以直接抵掉保濕，小資的非常可以入手!!!!麥克風遞過去:let it go~~~~~~~~~~~let it go~~~~~~~~~~ OLAY在momo推出超值必買革糖素小白瓶組合［買2送10］買正貨送正貨量！ https://pse.is/525pfa#Olay專研科學護膚 #革糖素小白瓶 #抗糖美白,"6,561",77則留言
丹妮婊姐星球,2022年12月25日,我這幾天在北海道訓練滑雪，我沒有辦法放任何滑雪影片出來dan，我的教練日本溫柔男一拍完我一看，我都想把他攝影機丟進去雪裡面，畫面真的太醜太慢了!!!!!!如同我朋友小張說的:當你這老女人還在山頂害怕的時候，日本的小孩已經從你旁邊滑過去回到食堂吃咖哩了。 對!!!!!就是這樣!!我旁邊一堆小孩!!!帥到不行，北海道小孩的體育課是滑雪!!!!! 總之我的影片真的太龜太驢，我站在山頂大吼:我要給我台灣的剪接師，幫我調快20倍就剛好!! 然後晚上跟其他滑雪教練大家吃飯的時候，他們說:不行啊那這樣你後面滑很快的人，在畫面裡面就會變成火箭速度，就會有破綻ㄟ~啊!!那不然我們教練一個在你後面故意滑終極的慢，你就滑你的，這樣一起調快之後，看起來你就會超強，沒有破綻了 我們很熱烈地討論沒錯沒錯，然後我的御用教練溫柔日本男冷冷地說:你可不可以專心在想如何進步，不要老是想這些歪七扭八的事情..... 哈哈哈哈哈哈哈哈哈哈哈哈哈阿!我就廢!!!!!!!! 由於全台灣兩千三百萬人口，約莫兩千萬人現在人在日本，今天跟你們介紹一款，日本一罐難求，難到連我日本人教練在711看到都說:媽啊第一次看到本體!!! 這是一款日本出的養樂多，(通常養樂多的酵母Y100，但這罐有Y1000) 我也不知道他其他成分啦，包裝就是標榜喝了會很好睡睡超好，網路上爆炸式好評都說喝了超好睡，有一個日本超有名的棒球明星也這麼說，說有多好睡，到夢鄉旅遊。 天啊那當然要買啊!!!!!!有兩罐我跟教練一人一罐，我還想說ㄟ要是我兩睡死，明天睡到下午怎麼辦哈哈哈阿哈哈哈哈哈哈(我們都約早上8點在飯店門口見去滑雪場) 就在睡前，我用神聖之心，把這罐全日本缺貨半年，一人還只能限購一罐的好睡養樂多，單腳下跪的方式乾杯。我很期待知道什麼叫做到夢鄉旅遊的感覺 結果你們知道怎樣嗎? 喔我去了一趟地獄，地獄的一晚!!!!!!!!!!!!!!!!!!!!!!!!!因為我滑雪很累，我盡量抓12點以前要睡著，他媽的我喝了這個躺到2點我還醒著!!!!!!!!!!!!!!我現在是怎樣???我要打開first love 還是漫威電影還是微積分助眠嗎?!?!?!? 我爬起來吞了一顆安眠藥，這樣總可以吧?幹!!!!到了三點還是醒著!!!我看到時鐘真的吐血，我崩潰地跳起來再吃一顆，我還是睡不著!!!!!!!!!!!!!!!!!!!!最後變成半夢半醒的惡夢連連到早上七點，我整晚沒睡的爬去滑雪訓練，結果~~~~ 滑得特別好特別快，之前都是教練遠遠把我拋在後頭，我今天完全跟緊緊，跟他一樣滑超快，還在大風雪中，完全沒有頂嘴沒有哭腰的下黑線(備註:難度比較高的很陡的)。黑線我通常都要哭哭啼啼一輪，因為太陡太可怕了。 溫柔日本教練這幾天一句沒誇獎過我，他開金口說:你今天滑很好，進步超多ㄟ!你滑好快!為什麼啊? 我想了一下，恩抱歉，我無法回答是他訓練有方，是因為我累到完全沒有力氣害怕了哈哈哈哈哈哈哈哈阿哈哈哈哈哈阿!!多陡的黑線，好老娘下去，隨便，我只想睡覺，紅線你要我滑多快，好，老娘就衝下去隨便，我只想睡覺! 這瓶地獄red bull 養樂多，真的徹底把我折磨一整晚，一秒都沒辦法睡，如果你在日本看到這罐神秘的養樂多，一定要買一罐試試看!!!!!!!!!!!!!!!!! 但可能或許早上喝吧?(他包裝好像沒寫早上還晚上，我叫Ivy早上喝了),"6,776",219則留言
丹妮婊姐星球,2022年12月18日,人生很容易被賣家秀給迷惑，不知道你們有沒有這種無聊的困擾哈哈哈哈哈哈希望大家都不要買到不穿的懊悔衣服,489,15則留言
